,B24_NAME,RM_ID,P26_RA,P26_DEC,B24_R500,z,LAMBDA_CHISQ,LAMBDA_CHISQ_ERR,B24_KT,B24_KT_L,B24_KT_H,B24_L500_0520,B24_L500_L_0520,B24_L500_H_0520,P26_T_ero,P26_T_ero_lo_err,P26_T_ero_hi_err,P26_L_0.5-2_ero,P26_L_0.5-2_ero_lo_err,P26_L_0.5-2_ero_hi_err,P26_L_0.1-10_ero,P26_L_0.1-10_ero_lo_err,P26_L_0.1-10_ero_hi_err,P26_T_xmm,P26_T_xmm_lo_err,P26_T_xmm_hi_err,P26_L_0.5-2_xmm,P26_L_0.5-2_xmm_lo_err,P26_L_0.5-2_xmm_hi_err,P26_L_0.1-10_xmm,P26_L_0.1-10_xmm_lo_err,P26_L_0.1-10_xmm_hi_err
38,1eRASS J031716.1-593522,1156.0,49.32,-59.59,1034.0,0.47,59.0,3.6353111,-1.0,1.99,-1.0,174.278,151.598,202.117,5.593182964,2.7042229950000003,21.869300536,1.3278162430000002e+44,1.3278162430000002e+44,1.8524225759274001e+43,4.0449600049999996e+44,4.044959976328503e+44,9.417299769628735e+43,5.703376753,0.3671858729999995,0.441157617,2.5009580690000005e+44,1.0393362142187212e+43,9.69040924338064e+42,7.825085381999999e+44,3.162778991857041e+43,4.613228366276918e+43
39,1eRASS J031757.8-441417,200.0,49.49,-44.22,1368.0,0.11,105.0,4.6476307,4.31,3.36,4.95,294.182,285.476,302.578,3.797317229,0.3936842709999997,0.3992863079999997,1.826026805e+44,3.3540550473889696e+42,3.7201670982968804e+42,4.885787583e+44,2.3500911499223074e+43,2.4424118834425194e+43,2.817306331,0.0231354729999999,0.0230875789999998,3.4428878170000003e+44,9.444640390427701e+41,9.184757702766903e+41,8.247590774000001e+44,4.3150560593648304e+42,3.40230380657163e+42
40,1eRASS J032448.7-290517,6426.0,51.2,-29.09,881.0,0.22,40.0,3.0947304,-1.0,3.65,-1.0,39.79,30.416,52.074,14.14869552,9.273725328,-14.14869552,3.5500749850000005e+43,3.550074985000001e+43,6.972027410070391e+42,1.399786793e+44,1.3997867544101703e+44,4.463961010284173e+43,3.277786649,0.707034003,1.1947960740000003,3.5677403819999996e+43,3.1898258306991603e+42,2.7129360962798804e+42,9.032856556e+43,1.3811998932556293e+43,1.0808411542892782e+43
41,1eRASS J032836.5-554251,46.0,52.15,-55.71,1159.0,0.11,111.0,4.9787197,3.64,3.17,5.33,118.051,114.284,121.91,4.758044883,0.710085587,0.99654535,1.096836897e+44,3.0150169123682597e+42,2.0907986401895805e+42,3.1991304770000007e+44,2.286277184589741e+43,2.2071971825880378e+43,5.068283006,0.1201144759999994,0.1198451729999998,1.529195562e+44,2.4355347038385802e+42,1.8627639981614498e+42,4.5869902839999995e+44,5.85127977841641e+42,7.81115088032431e+42
42,1eRASS J032926.7-273107,12503.0,52.36,-27.52,581.0,0.24,30.0,2.5353212,-1.0,2.0,-1.0,9.585,6.018,14.637,55.99940323,53.569386137,-55.99940323,1.1300863339999998e+43,1.1300863339999998e+43,4.644575373490182e+43,5.408800962000001e+43,5.408800962e+43,2.120651864839236e+44,2.75600002,0.1908606139999999,0.2813599299999998,1.908601671e+43,6.2310268283947014e+41,7.962583150430299e+41,4.529141607000001e+43,2.5862939614611602e+42,2.2543396059812207e+42
43,1eRASS J033101.2-522843,684.0,52.74,-52.47,1381.0,0.43,90.0,5.571814,-1.0,3.57,-1.0,822.242,765.088,887.19,4.857849605,1.5354247770000002,3.129464325,5.867529742e+44,5.992069790732922e+43,4.1283693379215467e+43,1.696152366e+45,3.6517665417540216e+44,2.217947747453741e+44,4.464658006,0.0733995329999999,0.0737735560000008,3.709033776000001e+44,1.0370252407698412e+43,1.249493667662018e+43,1.062381493e+45,2.7634836470586097e+43,3.7244981105618406e+43
44,1eRASS J033359.3-283802,2868.0,53.5,-28.64,699.0,0.66,62.0,4.1265206,-1.0,1.29,-1.0,93.874,58.436,139.408,0.6382446128,0.4102760394,0.9077663642,4.344554186e+44,4.344554186e+44,7.538336088466839e+43,5.754489191e+44,5.754489191e+44,-3.387473960678076e+43,4.154981702,0.4972480799999998,0.6730843160000006,7.768269430000001e+43,1.1012906563711409e+43,9.64242379499618e+42,2.1649607600000004e+44,3.658565908805069e+43,2.4894158914684583e+43
45,1eRASS J034007.3-285045,1322.0,55.03,-28.84,1007.0,0.34,68.0,4.904238,-1.0,1.42,-1.0,101.576,84.611,122.93,4.283199617,2.072029048,41.268649683,7.320973519000001e+43,2.607210869010196e+43,1.259768149901624e+43,2.031221828e+44,8.870031766102855e+43,6.354664130037657e+43,2.965044385,0.4300016320000002,0.5506544579999999,9.347183413e+43,5.1976700808789497e+42,5.151767420739671e+42,2.2830692060000003e+44,2.4405275995037537e+43,2.2807257800352533e+43
46,1eRASS J034204.4-535513,152.0,55.52,-53.92,832.0,0.51,109.0,4.4139223,1.64,1.28,5.22,103.136,83.896,128.213,63.92429704,57.237565469,-63.92429704,7.104243233000001e+43,7.104243233000001e+43,1.434208593046317e+44,3.415842421e+44,3.415842421e+44,6.8300968056161536e+44,4.059818901,0.411758099,0.5639156510000003,1.2362539170000002e+44,5.08622995631522e+42,4.0580545903797706e+42,3.4129929620000006e+44,2.0352601339727011e+43,1.308210989864403e+43
47,1eRASS J034301.7-551848,948.0,55.76,-55.31,895.0,0.55,59.0,2.9200332,-1.0,3.94,-1.0,126.129,106.507,149.913,4.590776052,1.927989729,11.267326228000002,1.328770399e+44,5.575765908057204e+43,2.3899763532972107e+43,3.7441911559999995e+44,3.744191152948832e+44,7.166884352500899e+43,6.452192376,0.7010300000000003,0.8132111439999994,1.578614985e+44,7.311971341956971e+42,6.436914153711161e+42,5.145220531e+44,2.6827951155793977e+43,1.8928609844236687e+43
