,Cluster,ra,dec,z,R500,Nhtot,T_M24,T_M24_hi_err,T_M24_lo_err,T_P26,T_P26_hi_err,T_P26_lo_err
70,A3827,330.4840516754245,-59.94949150053214,0.098,10.455,2.95,4.860,1.841,1.088,5.187105245,6.253947775,2.029074223
71,A3836,332.3472806233702,-51.81484407858439,0.113,7.897,1.77,,,,6.308829877,-6.308829877,3.272717191
72,A3911,341.5776198113943,-52.72914821928629,0.097,9.596,1.14,6.574,3.517,1.860,5.000849546,3.635268441,1.5353646540000003
73,A3921,342.48784675239136,-64.42893804169584,0.094,10.032,2.6,3.038,0.814,0.520,3.873469706,2.4181272390000004,1.2118959119999997
74,A3998,350.3895263507225,-41.89857565018432,0.089,9.402,1.66,1.999,0.496,0.310,2.030382962,0.548186624,0.3468103090000001
75,A4059,359.2598345035784,-34.760480838875054,0.047,17.257,1.26,4.773,1.990,1.120,25.38926052,-25.38926052,20.044295312000003
76,APMCC772,336.1144574070477,-55.25613707175809,0.089,9.292,1.9,1.720,0.473,0.262,0.9308314604,0.1214257135999999,0.1688385725
77,CID28,73.7097072456373,-18.10955059897116,0.04,14.85,4.91,3.837,1.443,0.832,3.406583488,2.4514463180000003,1.0957491029999995
78,CID36,85.53891404778756,-26.12310353083992,0.039,14.272,1.7,3.058,1.787,0.723,3.133930654,4.413632492,1.1862205759999995
79,HCG62,193.27304115604665,-9.200535503239594,0.015,25.447,3.81,1.250,0.113,0.104,1.248808293,0.255045001,0.201712106
80,MKW11,202.38359567416472,11.789333984410986,0.022,19.019,2.27,1.001,0.133,0.083,0.1371360652,-0.1371360652,0.1371360652
81,MKW4,181.10510913694463,1.90064713090311,0.02,25.467,1.87,2.266,0.561,0.345,16.3216449,-16.3216449,9.510597602
82,MKW8,220.1592805586979,3.4763704225169003,0.026,19.899,2.68,,,,3.920751079,2.521636913,1.228312183
83,MS1306.7,197.3205591778718,-1.6122154503651256,0.084,8.545,1.88,,,,5.873904918,36.900405152,3.55177074
84,NGC1550,64.90761930851266,2.413700246626982,0.013,38.856,16.2,1.102,0.034,0.038,1.227627248,0.0548431440000001,0.0602016659999999
85,NGC1650,71.29141201474002,-15.850778822103504,0.036,15.47,5.34,5.436,3.331,1.359,63.92196541,-63.92196541,49.58711966
86,NGC4325,185.77713401193287,10.623925326992715,0.026,18.52,2.54,0.955,0.090,0.089,0.2815640265,0.0598203789999999,0.0419223476
87,NGC4636,190.7061804821709,2.686032234771448,0.004,91.302,2.07,,,,0.8281421486,0.0453676372999999,0.0462659747
88,NGC5044,198.8497657757475,-16.390188532570797,0.009,52.495,6.25,1.073,0.034,0.026,1.084861522,0.0438050869999999,0.03313165
89,RBS0540,66.4644925781182,-8.559185169809552,0.04,18.883,12.4,2.530,0.509,0.366,6.60656057,4.68683659,2.891957144
90,RBS0653,82.23482265862346,-39.46302012391536,0.286,4.887,2.26,4.063,1.169,0.802,4.017634364,2.083830985,1.186918886
91,RBS1847,334.52247564584934,-65.18513081964288,0.095,9.112,2.45,3.734,1.939,1.058,6.999205068,10.144677642,3.428414855
92,RXCJ0340.6m0239,55.17408585490047,-2.666153030930745,0.035,15.39,7.33,1.097,0.135,0.130,0.9781816813,0.0982641536999998,0.1458211743
93,RXCJ1304.2-3030,196.06974748994892,-30.51517757230301,0.012,29.833,8.85,0.880,0.067,0.065,1.056082783,0.215943288,0.1575101626999999
94,RXCJ1337.4m4120,204.36767750376143,-41.33352162367581,0.051,11.385,8.52,1.442,0.120,0.097,1.940472933,0.7162368320000001,0.3131698829999998
95,RXCJ1353.4m2753,208.37225374302616,-27.88835176449808,0.047,12.075,5.81,1.853,0.797,0.339,1.923595685,2.453027977,0.3775753529999999
96,RXCJ1504.1-0248,226.0319872287432,-2.805113069299328,0.215,7.267,8.39,6.847,9.602,1.756,4.633729585,3.131763187,1.5500689310000002
97,RXCJ1539.5-8335,234.89035927330227,-83.59237936341935,0.064,12.191,10.7,4.043,1.720,1.135,5.402438395,4.858342185000001,2.029045498
98,RXCJ1558.3-1410,239.59622812666623,-14.167716445177978,0.097,9.977,16.8,4.309,1.405,1.133,9.65194011,43.96620737,3.958457824
99,RXCJ1926.9m5342,291.7432600046687,-53.70337412168299,0.057,11.94,5.0,1.754,0.821,0.324,1.614410553,0.3856391290000003,0.2649378789999999
100,RXCJ2104.9m5149,316.22807016875225,-51.82607469830045,0.049,13.229,2.8,1.343,0.248,0.145,1.437778935,0.2093153059999999,0.133876428
101,RXCJ2124.3m7446,321.09292155153946,-74.77349595646673,0.062,10.741,7.15,,,,2.36559539,2.54287668,0.6415710690000003
102,RXJ1347.5-1145,206.87514409134124,-11.748938288178817,0.447,4.1,5.82,,,,63.98834102,-63.98834102,42.39372992
103,S0112,14.450797134920284,-66.81212614603842,0.066,10.668,2.37,3.351,3.333,1.093,1.915278227,0.622912559,0.286948816
104,S0301,42.40364554283552,-31.188399377494893,0.023,19.239,2.56,1.311,0.113,0.104,0.2421634791,0.0784300293,0.0240714119
105,S0384,56.44089543148377,-41.20785015849008,0.061,10.727,1.29,2.427,0.646,0.350,2.580210981,0.8713779289999999,0.550756282
106,S0405,57.78692555091933,-82.2161100276277,0.049,12.668,7.37,,,,2.84585318,0.6192307029999999,0.482555579
107,S0540,85.02668942936317,-40.84246631221666,0.036,17.46,3.33,2.940,0.662,0.461,3.208974337,1.6737556959999995,0.7212528979999999
108,S0555,89.30485191189152,-37.46598492469174,0.044,13.207,3.93,3.431,2.818,1.153,3.431897873,2.4245334990000003,1.1446999780000002
109,S0592,99.69344458004578,-53.97138107040714,0.227,5.708,8.28,9.419,8.895,3.999,7.699167452,4.334042857999999,2.186144445
110,S0753,210.8995797485133,-33.987798933427165,0.013,27.92,6.68,1.779,0.199,0.142,2.563600772,3.33221338,0.730799185
111,S0780,224.87160094206388,-18.186771939803883,0.235,5.953,10.1,4.078,2.870,1.133,3.948385672,2.7435452769999995,1.3377841570000002
112,S0805,281.834434925448,-63.33661922285611,0.015,25.073,8.24,1.426,0.286,0.205,3.352525131,16.093244849,1.638035982
113,S0810,288.1686090899572,-75.29126232725592,0.073,10.742,7.1,3.049,3.139,0.844,13.3993949,-13.3993949,8.746530735
114,S0851,302.4755275914649,-48.39322982876477,0.01,30.402,4.63,0.875,0.054,0.046,0.8582067744,0.5623362926000001,0.2960709611000001
115,S0861,304.69030977650414,-52.706520065761865,0.051,13.652,4.93,3.211,4.172,1.021,63.92278725,-63.92278725,49.1266012
116,S1063,342.1810534510195,-44.52869794544033,0.347,4.832,1.28,,,,10.1555552,12.0903079,4.343550895
117,S1101,348.494691560978,-42.733601336255234,0.056,14.933,1.17,2.419,1.640,0.568,2.744037546,2.962375726,0.82959684
118,ZwCl4905,182.5785181897359,5.3852112268101,0.075,9.493,1.54,3.849,3.606,1.202,2.063240643,1.313287076,0.3987054079999999
119,1ES0657,104.62864682988288,-55.946907068030285,0.296,5.244,6.44,7.251,2.177,1.251,10.81068069,4.68996078,2.6779761870000005
120,A1060,159.1737940348027,-27.52440016556905,0.013,45.317,6.18,3.152,0.374,0.295,3.328641879,0.7975196440000003,0.5927665150000001
121,A1142,165.2037725244471,10.559547913074889,0.035,14.074,2.44,1.914,1.779,0.427,2.397197215,-2.397197215,0.7712374259999999
122,A1451,180.8211871565535,-21.522477940928887,0.199,5.952,4.48,9.203,9.181,3.905,8.970752387,32.467225013000004,3.980644506999999
123,A2941,26.259421800155643,-53.01352375986236,0.121,7.635,2.91,3.170,1.210,0.745,5.887709418,13.601034222,2.745893512
124,A3158,55.72440279999152,-53.63505404033573,0.059,15.581,1.4,3.654,0.381,0.315,3.493711937,0.5449562450000003,0.4135274120000001
125,A3528S,193.6722938315121,-29.223369739857446,0.054,13.949,8.23,2.804,0.864,0.483,3.44278227,2.611144968,0.98618529
126,A3530,193.8939613775293,-30.33023958007696,0.054,12.73,8.03,2.613,0.936,0.523,8.012544642,15.509576798,4.906330981
127,A3581,211.86735067609507,-27.014894015195413,0.023,25.823,5.32,1.739,0.180,0.152,1.661340792,0.3128104039999999,0.19137383
128,A3653,298.2542268996158,-52.0308013823264,0.107,7.889,4.99,4.848,7.366,2.166,10.49044359,-10.49044359,7.450293412
129,A3825,329.6132274311158,-60.399550667368814,0.075,10.165,3.28,,,,2.006058846,2.444722221,0.6133105180000002
130,RXCJ0510.7-0801,77.6862507043139,-8.018177402479035,0.22,5.628,8.88,3.529,1.158,0.701,4.535519493,3.26591805,1.3811325369999996
131,RXCJ1314.4m2515,198.61671212229453,-25.26168614502948,0.244,5.384,8.95,,,,14.54423202,-14.54423202,9.553839432
132,S0520,79.15913958604725,-54.51409424837954,0.295,4.772,2.21,7.152,3.913,2.255,8.596643715,7.663710504999999,4.092580518000001
133,USGCS152,162.6062590891584,-12.846977844113356,0.015,27.532,4.55,0.912,0.133,0.130,63.98282625,-63.98282625,63.98282625
134,Zw0959.6+3257,150.66126218556968,32.699224588841126,0.05,11.638,1.76,,,,1.223050874,0.368564155,0.1999261909999998
135,Zw1215.1+0400,184.41914549993905,3.6630135161366537,0.077,12.116,1.88,4.035,1.225,0.610,9.464912147,-9.464912147,4.417964059
136,ZwCl3179,156.48279002507874,12.685317368222211,0.143,6.759,4.08,3.146,2.339,0.921,2.51130378,1.375649364,0.592028832
